Date,cluster,cluster_name,avg_consumption,peak_consumption,min_consumption,std_consumption,is_weekend
2007-01-25,1,High Consumption Pattern,1.1085722222222223,5.832,0.206,0.9896069121153739,0
2007-01-26,1,High Consumption Pattern,1.1235916666666665,5.024,0.208,0.9023785355787479,0
2007-01-27,1,High Consumption Pattern,1.4194944444444444,6.204,0.214,1.1191024895776893,1
2007-01-28,2,Peak-Heavy Pattern,2.1475173611111114,7.552,0.224,1.3526013630155005,1
2007-01-29,1,High Consumption Pattern,1.37685,4.908,0.222,0.9339334437077871,0
2007-01-30,1,High Consumption Pattern,1.1859708333333334,6.166,0.228,1.1651166165719002,0
2007-01-31,2,Peak-Heavy Pattern,1.6414944444444444,6.59,0.226,1.2872800788324854,0
2007-02-01,1,High Consumption Pattern,1.2671944444444445,7.482,0.222,1.107042024571097,0
2007-02-02,1,High Consumption Pattern,1.15815,5.448,0.22,0.9902841673858678,0
2007-02-03,2,Peak-Heavy Pattern,2.7984180555555556,7.904,0.236,1.3898937081788412,1
2007-02-04,2,Peak-Heavy Pattern,2.4971805555555555,7.698,0.22,1.2693117539592433,1
2007-02-05,1,High Consumption Pattern,1.1425555555555555,5.816,0.222,1.0649207859938055,0
2007-02-06,3,Moderate Consumption Pattern,0.8843611111111112,4.816,0.214,0.7795022111362108,0
2007-02-07,2,Peak-Heavy Pattern,1.6166791666666667,6.694,0.218,1.1937195517184798,0
2007-02-08,1,High Consumption Pattern,1.2509819444444443,5.58,0.216,1.0524453273929169,0
2007-02-09,1,High Consumption Pattern,1.1251375000000001,6.146,0.218,1.0075205699836784,0
2007-02-10,2,Peak-Heavy Pattern,1.964811111111111,6.88,0.254,1.506024559569056,1
2007-02-11,2,Peak-Heavy Pattern,2.4800194444444443,7.426,0.252,1.2343661608050598,1
2007-02-12,1,High Consumption Pattern,1.3038958333333333,6.514,0.222,1.0520934900786523,0
2007-02-13,3,Moderate Consumption Pattern,0.9823236111111111,4.972,0.214,0.9400883244759494,0
2007-02-14,2,Peak-Heavy Pattern,1.735188888888889,6.008,0.212,1.3674042417678116,0
2007-02-15,1,High Consumption Pattern,1.3787125,7.234,0.246,1.226902915355341,0
2007-02-16,1,High Consumption Pattern,1.182311111111111,6.316,0.252,1.1356684238903967,0
2007-02-17,2,Peak-Heavy Pattern,1.4423,7.33,0.214,1.2620182624621759,1
2007-02-18,2,Peak-Heavy Pattern,2.6595569444444447,7.16,0.226,1.5581848979008395,1
2007-02-19,2,Peak-Heavy Pattern,1.5184819444444444,7.682,0.218,1.3736757781673479,0
2007-02-20,2,Peak-Heavy Pattern,2.18745,8.374,0.25,1.2994659394792045,0
2007-02-21,2,Peak-Heavy Pattern,1.4394958333333332,8.974,0.21,1.2632524415356827,0
2007-02-22,2,Peak-Heavy Pattern,2.3454305555555557,9.41,0.252,1.5606845431367138,0
2007-02-23,1,High Consumption Pattern,0.9121388888888889,5.468,0.206,0.7174993270934723,0
2007-02-24,0,Low Consumption Pattern,0.4964736111111111,2.464,0.204,0.5261700347682237,1
2007-02-25,0,Low Consumption Pattern,0.3484305555555556,1.536,0.21,0.2741823564661453,1
2007-02-26,0,Low Consumption Pattern,0.3947805555555556,1.558,0.21,0.34001052456379266,0
2007-02-27,0,Low Consumption Pattern,0.35979999999999995,1.47,0.21,0.2854327589866136,0
2007-02-28,0,Low Consumption Pattern,0.36164861111111113,1.486,0.21,0.2900275252294228,0
2007-03-01,0,Low Consumption Pattern,0.3594194444444444,1.472,0.208,0.2912436378801564,0
2007-03-02,0,Low Consumption Pattern,0.35811666666666664,1.468,0.208,0.28547255533083393,0
2007-03-03,0,Low Consumption Pattern,0.5688347222222222,4.242,0.206,0.5387863595652465,1
2007-03-04,2,Peak-Heavy Pattern,1.4518749999999998,10.67,0.208,1.8109022660060146,1
2007-03-05,2,Peak-Heavy Pattern,1.8474527777777776,9.486,0.208,1.6879739517249077,0
2007-03-06,3,Moderate Consumption Pattern,0.865625,6.508,0.202,0.9187487115240118,0
2007-03-07,2,Peak-Heavy Pattern,1.6494486111111113,5.98,0.204,1.3953245602192672,0
2007-03-08,1,High Consumption Pattern,1.0917583333333334,6.354,0.224,1.239105966765082,0
2007-03-09,1,High Consumption Pattern,0.8837583333333334,5.444,0.22,0.7856486526119284,0
2007-03-10,2,Peak-Heavy Pattern,1.7254944444444444,6.35,0.22,1.3745720587342534,1
2007-03-11,2,Peak-Heavy Pattern,2.417108333333333,7.142,0.228,1.1711840682325403,1
2007-03-12,1,High Consumption Pattern,1.3546305555555556,6.078,0.216,1.0449341322929513,0
2007-03-13,3,Moderate Consumption Pattern,0.8959333333333334,5.77,0.212,0.9987887068291796,0
2007-03-14,1,High Consumption Pattern,1.2453916666666667,6.114,0.224,1.1545171624784376,0
2007-03-15,1,High Consumption Pattern,1.3088986111111112,4.574,0.21,1.083266627363986,0
2007-03-16,3,Moderate Consumption Pattern,1.1819819444444446,5.342,0.222,1.0731534029298813,0
2007-03-17,1,High Consumption Pattern,1.4083958333333333,5.642,0.206,1.1748510583451204,1
2007-03-18,2,Peak-Heavy Pattern,1.6465597222222221,7.994,0.226,1.5691392099571915,1
2007-03-19,2,Peak-Heavy Pattern,1.4948041666666667,7.452,0.214,1.2503256361876263,0
2007-03-20,2,Peak-Heavy Pattern,1.4487694444444446,6.55,0.216,1.4397605611912994,0
2007-03-21,2,Peak-Heavy Pattern,1.487563888888889,5.88,0.218,1.056957014609023,0
2007-03-22,1,High Consumption Pattern,1.010401388888889,5.744,0.202,0.91658506461708,0
2007-03-23,1,High Consumption Pattern,0.9090333333333334,4.314,0.204,0.8196419693301586,0
2007-03-24,2,Peak-Heavy Pattern,2.0614097222222223,7.186,0.2,1.5966665184052828,1
2007-03-25,2,Peak-Heavy Pattern,2.317120138888889,7.918,0.242,1.2018202115370298,1
2007-03-26,1,High Consumption Pattern,0.9833902777777779,5.804,0.218,0.8601080514017377,0
2007-03-27,3,Moderate Consumption Pattern,0.7674583333333334,5.938,0.212,0.9524884118844432,0
2007-03-28,2,Peak-Heavy Pattern,1.6207625,6.714,0.218,1.3273216739403761,0
2007-03-29,1,High Consumption Pattern,1.1044486111111111,6.49,0.212,1.099647947389622,0
2007-03-30,1,High Consumption Pattern,0.9738847222222222,5.098,0.214,0.8902802616655321,0
2007-03-31,2,Peak-Heavy Pattern,2.4371597222222223,7.098,0.308,1.3013207283857426,1
2007-04-01,2,Peak-Heavy Pattern,1.9346888888888887,8.16,0.222,1.4205547499176876,1
2007-04-02,1,High Consumption Pattern,1.3616513888888888,6.338,0.206,1.0475510383267197,0
2007-04-03,2,Peak-Heavy Pattern,1.1408472222222221,7.928,0.21,1.3179436312459225,0
2007-04-04,1,High Consumption Pattern,1.4249083333333332,6.266,0.212,1.1245997783660833,0
2007-04-05,2,Peak-Heavy Pattern,1.2806097222222221,8.102,0.21,1.423730535253956,0
2007-04-06,1,High Consumption Pattern,1.111902777777778,5.812,0.224,1.004046197184094,0
2007-04-07,1,High Consumption Pattern,1.079113888888889,5.44,0.216,1.1766989566381523,1
2007-04-08,0,Low Consumption Pattern,1.1172333333333333,3.598,0.208,0.9118121863839938,1
2007-04-09,0,Low Consumption Pattern,0.6950833333333333,3.766,0.21,0.7570647599311926,0
2007-04-10,0,Low Consumption Pattern,0.5398361111111112,3.076,0.212,0.45382389928818184,0
2007-04-11,0,Low Consumption Pattern,0.6163069444444444,2.906,0.212,0.5147247497304727,0
2007-04-12,0,Low Consumption Pattern,0.37340694444444444,1.542,0.21,0.2811334567809056,0
2007-04-13,0,Low Consumption Pattern,0.3826541666666667,1.466,0.21,0.2865075458925478,0
2007-04-14,0,Low Consumption Pattern,0.38490833333333335,1.526,0.212,0.2879180206029285,1
2007-04-15,0,Low Consumption Pattern,0.5042805555555555,3.906,0.122,0.5637374478558692,1
2007-04-16,3,Moderate Consumption Pattern,0.6613819444444444,6.026,0.124,0.8049052663453741,0
2007-04-17,3,Moderate Consumption Pattern,0.8498152777777778,6.41,0.14,0.8766192161247344,0
2007-04-18,3,Moderate Consumption Pattern,0.6932263888888889,6.054,0.122,0.776786698419657,0
2007-04-19,3,Moderate Consumption Pattern,0.7143458333333332,5.798,0.128,0.6297265959661628,0
2007-04-20,3,Moderate Consumption Pattern,0.5712361111111112,5.814,0.118,0.7870400207407171,0
2007-04-21,3,Moderate Consumption Pattern,1.162261111111111,7.336,0.112,1.2294766984072902,1
2007-04-22,2,Peak-Heavy Pattern,1.5511902777777777,6.958,0.138,1.2789670812424907,1
2007-04-23,3,Moderate Consumption Pattern,0.7323375,4.676,0.104,0.7502263656421678,0
2007-04-24,3,Moderate Consumption Pattern,0.716736111111111,5.638,0.108,0.7279933312101591,0
2007-04-25,3,Moderate Consumption Pattern,0.8778902777777778,4.602,0.106,0.8892194524704037,0
2007-04-26,3,Moderate Consumption Pattern,0.8857402777777778,5.394,0.106,0.8845660879257086,0
2007-04-27,3,Moderate Consumption Pattern,0.7599527777777778,4.658,0.104,0.90268431626783,0
2007-05-01,3,Moderate Consumption Pattern,1.1554569444444445,6.096,0.126,1.1133166682055686,0
2007-05-02,3,Moderate Consumption Pattern,0.6968652777777777,5.76,0.122,0.6677569965471921,0
2007-05-03,3,Moderate Consumption Pattern,0.7571097222222223,4.712,0.106,0.8035407669721326,0
2007-05-04,3,Moderate Consumption Pattern,0.6931444444444445,5.702,0.112,0.8905908783202836,0
2007-05-05,3,Moderate Consumption Pattern,1.0854527777777778,5.642,0.11,1.036089373685157,1
2007-05-06,3,Moderate Consumption Pattern,1.4597944444444444,6.126,0.13,1.116840837353394,1
2007-05-07,3,Moderate Consumption Pattern,1.1414333333333333,7.572,0.118,1.1717913614878464,0
2007-05-08,3,Moderate Consumption Pattern,1.2425638888888888,7.672,0.128,1.1678211300900476,0
2007-05-09,3,Moderate Consumption Pattern,1.1567611111111111,6.356,0.116,1.1485286347731307,0
2007-05-10,3,Moderate Consumption Pattern,0.4915861111111111,4.276,0.112,0.6202291811855025,0
2007-05-11,3,Moderate Consumption Pattern,0.6799680555555555,4.724,0.11,0.6778406146796981,0
2007-05-12,3,Moderate Consumption Pattern,1.0010875000000001,7.172,0.148,1.0008804674875291,1
2007-05-13,3,Moderate Consumption Pattern,1.1352347222222223,5.562,0.142,1.0523378020684186,1
2007-05-14,3,Moderate Consumption Pattern,1.0192930555555555,5.62,0.2,1.1082444055781084,0
2007-05-15,3,Moderate Consumption Pattern,0.62805,4.228,0.226,0.4654596063787461,0
2007-05-16,3,Moderate Consumption Pattern,1.1756555555555555,5.64,0.206,1.0040077013247248,0
2007-05-17,3,Moderate Consumption Pattern,0.8554277777777778,5.81,0.214,0.7975003863439967,0
2007-05-18,3,Moderate Consumption Pattern,1.1330069444444444,6.126,0.206,1.1266190739665571,0
2007-05-19,3,Moderate Consumption Pattern,0.9926680555555556,4.524,0.216,0.9131887610044533,1
2007-05-20,2,Peak-Heavy Pattern,1.3668944444444444,5.344,0.218,1.2517567208071467,1
2007-05-21,3,Moderate Consumption Pattern,0.7778208333333333,4.572,0.206,0.6164935151215594,0
2007-05-22,3,Moderate Consumption Pattern,0.7867027777777779,5.328,0.2,0.9379385261289804,0
2007-05-23,3,Moderate Consumption Pattern,1.0173166666666666,5.432,0.204,0.8089247350422476,0
2007-05-24,3,Moderate Consumption Pattern,0.8016583333333333,5.462,0.204,0.9463775961434627,0
2007-05-25,2,Peak-Heavy Pattern,1.1209861111111112,6.98,0.206,1.3490825440710876,0
2007-05-26,3,Moderate Consumption Pattern,1.0501722222222223,4.974,0.216,0.8965671436140525,1
2007-05-27,2,Peak-Heavy Pattern,1.4957,6.776,0.218,1.4121226735065446,1
2007-05-28,3,Moderate Consumption Pattern,1.1371305555555555,5.798,0.204,0.982652924989621,0
2007-05-29,3,Moderate Consumption Pattern,0.7370416666666666,4.226,0.206,0.6835899582814525,0
2007-05-30,3,Moderate Consumption Pattern,1.1179625,6.124,0.204,0.9941799369476279,0
2007-05-31,3,Moderate Consumption Pattern,0.6517708333333333,4.5,0.198,0.6546671065614045,0
2007-06-01,3,Moderate Consumption Pattern,0.7259513888888888,5.354,0.204,0.5796601869303918,0
2007-06-02,3,Moderate Consumption Pattern,1.0308069444444445,6.602,0.21,1.005027681684657,1
2007-06-03,2,Peak-Heavy Pattern,1.4639069444444444,6.79,0.218,1.383839311774835,1
2007-06-04,3,Moderate Consumption Pattern,0.6330680555555556,4.452,0.18,0.6471509815054634,0
2007-06-05,3,Moderate Consumption Pattern,1.0131194444444445,5.518,0.182,0.9256658432015404,0
2007-06-06,3,Moderate Consumption Pattern,1.1776479166666667,5.326,0.176,0.9159884556771489,0
2007-06-07,3,Moderate Consumption Pattern,0.6840291666666667,3.682,0.17,0.570441962433701,0
2007-06-08,2,Peak-Heavy Pattern,1.491698611111111,7.614,0.172,1.5189161055330969,0
2007-06-09,0,Low Consumption Pattern,0.7199674074074074,4.548,0.19,0.551296884002882,1
2007-06-10,3,Moderate Consumption Pattern,0.9311194444444444,5.842,0.1,0.953317051454839,1
2007-06-11,0,Low Consumption Pattern,0.5518430555555556,5.044,0.11,0.5405142125691673,0
2007-06-12,3,Moderate Consumption Pattern,0.6380319444444444,6.092,0.096,0.7423191176058569,0
2007-06-13,3,Moderate Consumption Pattern,0.643938888888889,4.652,0.098,0.6418128395971308,0
2007-06-14,3,Moderate Consumption Pattern,0.8743638888888889,6.476,0.096,1.140624795356451,0
2007-06-15,3,Moderate Consumption Pattern,0.687225,5.376,0.084,0.8744788830819298,0
2007-06-16,3,Moderate Consumption Pattern,1.4012236111111112,4.928,0.098,1.1384460423059093,1
2007-06-17,2,Peak-Heavy Pattern,1.3521458333333334,6.436,0.098,1.2606173910643648,1
2007-06-18,0,Low Consumption Pattern,0.47116250000000004,4.638,0.084,0.5378472687350507,0
2007-06-19,3,Moderate Consumption Pattern,0.5870180555555555,5.202,0.084,0.6098512365753233,0
2007-06-20,3,Moderate Consumption Pattern,0.7460319444444445,6.496,0.082,0.9445425594703705,0
2007-06-21,3,Moderate Consumption Pattern,0.5603791666666667,6.522,0.106,0.7320067351481772,0
2007-06-22,0,Low Consumption Pattern,0.3932597222222222,4.22,0.116,0.4091433098492055,0
2007-06-23,0,Low Consumption Pattern,0.33164305555555557,2.926,0.118,0.3504713281607939,1
2007-06-24,0,Low Consumption Pattern,0.49628888888888884,3.34,0.12,0.4554032644837405,1
2007-06-25,3,Moderate Consumption Pattern,0.7445847222222223,7.164,0.112,1.0551576756133465,0
2007-06-26,3,Moderate Consumption Pattern,0.6561861111111111,7.29,0.118,0.8681204118235872,0
2007-06-27,2,Peak-Heavy Pattern,1.0283513888888889,7.436,0.122,1.3484467584290216,0
2007-06-28,3,Moderate Consumption Pattern,0.8996097222222222,6.2,0.15,0.8790952139443763,0
2007-06-29,3,Moderate Consumption Pattern,0.9058902777777778,5.188,0.124,1.0090209163512869,0
2007-06-30,3,Moderate Consumption Pattern,0.9273013888888889,6.376,0.126,0.960120378859947,1
2007-07-01,0,Low Consumption Pattern,0.7129611111111112,2.966,0.156,0.6277467508463966,1
2007-07-02,3,Moderate Consumption Pattern,0.67155,6.694,0.11,1.0351852185440764,0
2007-07-03,3,Moderate Consumption Pattern,0.73605,6.702,0.166,0.9378837993727058,0
2007-07-04,3,Moderate Consumption Pattern,0.6968125,5.346,0.144,0.8583840229797379,0
2007-07-05,3,Moderate Consumption Pattern,0.7342291666666666,5.564,0.124,0.9024028276551287,0
2007-07-06,3,Moderate Consumption Pattern,0.7427250000000001,7.24,0.124,1.1142556611111636,0
2007-07-07,3,Moderate Consumption Pattern,0.943198611111111,6.962,0.11,0.8970723842263242,1
2007-07-08,3,Moderate Consumption Pattern,0.7563055555555555,6.17,0.13,0.8100484227650541,1
2007-07-09,3,Moderate Consumption Pattern,0.8195541666666666,5.914,0.134,0.7998017430567812,0
2007-07-10,3,Moderate Consumption Pattern,0.6307805555555556,6.284,0.124,0.8656840661990106,0
2007-07-11,0,Low Consumption Pattern,0.5016333333333333,4.166,0.12,0.6022924876857788,0
2007-07-12,3,Moderate Consumption Pattern,0.7427652777777779,5.822,0.128,0.9742875762380814,0
2007-07-13,0,Low Consumption Pattern,0.5516541666666667,5.456,0.132,0.5410750525493797,0
2007-07-14,3,Moderate Consumption Pattern,0.8945625,4.874,0.116,1.0009506545820681,1
2007-07-15,0,Low Consumption Pattern,0.6430863121185701,3.71,0.138,0.6472722374992307,1
2007-07-16,3,Moderate Consumption Pattern,0.5928291666666666,4.35,0.124,0.5566733053146125,0
2007-07-17,3,Moderate Consumption Pattern,0.49974444444444444,3.67,0.116,0.6110064936978168,0
2007-07-18,3,Moderate Consumption Pattern,0.5257513888888888,5.104,0.112,0.6732270076947754,0
2007-07-19,3,Moderate Consumption Pattern,0.47075416666666664,4.222,0.116,0.5330996859628899,0
2007-07-20,3,Moderate Consumption Pattern,0.771126388888889,5.686,0.116,0.8265421398589597,0
2007-07-21,3,Moderate Consumption Pattern,0.7362833333333334,4.724,0.11,0.6641377175350568,1
2007-07-22,3,Moderate Consumption Pattern,0.9564895833333333,6.596,0.12,1.2225996806165151,1
2007-07-23,3,Moderate Consumption Pattern,0.6882069444444444,5.518,0.116,0.8082811687542416,0
2007-07-24,3,Moderate Consumption Pattern,0.5731138888888889,3.052,0.11,0.6156599679964124,0
2007-07-25,0,Low Consumption Pattern,0.32816666666666666,3.946,0.122,0.3774028360060834,0
2007-07-26,3,Moderate Consumption Pattern,0.6420138888888889,5.476,0.112,0.8574781064686849,0
2007-07-27,3,Moderate Consumption Pattern,0.8350791666666666,4.608,0.112,0.7977619419572741,0
2007-07-28,3,Moderate Consumption Pattern,1.1262930555555557,5.802,0.102,1.2274306798723817,1
2007-07-29,0,Low Consumption Pattern,0.2229972222222222,1.298,0.098,0.23404232730881352,1
2007-07-30,0,Low Consumption Pattern,0.3241777777777778,4.1,0.098,0.3941809626725877,0
2007-07-31,3,Moderate Consumption Pattern,0.5641194444444444,3.848,0.098,0.7306780668842339,0
2007-08-01,3,Moderate Consumption Pattern,0.7210436681222708,3.71,0.1,0.7367275031986699,0
2007-08-02,3,Moderate Consumption Pattern,0.7079277777777778,3.596,0.1,0.7012711304438151,0
2007-08-03,3,Moderate Consumption Pattern,0.7384472222222223,4.548,0.102,0.6532399733740136,0
2007-08-04,3,Moderate Consumption Pattern,0.7951319444444445,3.64,0.098,0.7129272950009005,1
2007-08-05,3,Moderate Consumption Pattern,0.5465958333333333,4.294,0.1,0.6181888433050186,1
2007-08-06,3,Moderate Consumption Pattern,0.75675,5.146,0.102,0.8499917368686365,0
2007-08-07,3,Moderate Consumption Pattern,1.0302638888888889,4.778,0.098,0.8117641645673718,0
2007-08-08,3,Moderate Consumption Pattern,0.7815847222222222,5.702,0.102,0.8685005312625087,0
2007-08-09,3,Moderate Consumption Pattern,0.7442222222222222,6.332,0.1,0.9993638702507377,0
2007-08-10,3,Moderate Consumption Pattern,0.7138958333333333,5.572,0.102,0.8659477394187526,0
2007-08-11,3,Moderate Consumption Pattern,0.7580902777777778,5.602,0.102,0.7897313625042285,1
2007-08-12,3,Moderate Consumption Pattern,0.8624333333333334,7.548,0.102,1.178614841003175,1
2007-08-13,3,Moderate Consumption Pattern,0.8007027777777778,3.36,0.1,0.6560693114903506,0
2007-08-14,3,Moderate Consumption Pattern,0.6536041666666667,5.534,0.102,0.8095337561064918,0
2007-08-15,3,Moderate Consumption Pattern,0.8276805555555555,6.508,0.106,0.8865657225731579,0
2007-08-16,3,Moderate Consumption Pattern,0.6656222222222222,4.146,0.104,0.7866436661301891,0
2007-08-17,3,Moderate Consumption Pattern,0.7013138888888888,5.142,0.1,0.9206902032701612,0
2007-08-18,0,Low Consumption Pattern,0.24163888888888888,1.384,0.102,0.2814198540887717,1
2007-08-19,3,Moderate Consumption Pattern,0.9877041666666667,6.63,0.102,1.3469775472660177,1
2007-08-20,3,Moderate Consumption Pattern,0.929751388888889,5.084,0.11,0.9041687511987747,0
2007-08-21,0,Low Consumption Pattern,0.44621944444444445,4.96,0.104,0.5540870313042829,0
2007-08-22,3,Moderate Consumption Pattern,0.8401444444444445,5.332,0.108,1.0775951508853616,0
2007-08-23,3,Moderate Consumption Pattern,0.7724388888888888,5.17,0.106,0.8487898832423282,0
2007-08-24,3,Moderate Consumption Pattern,1.1503569444444444,8.694,0.112,1.1767406619545617,0
2007-08-25,3,Moderate Consumption Pattern,0.7992222222222223,6.796,0.112,1.0529792225619876,1
2007-08-26,3,Moderate Consumption Pattern,0.9131291666666667,8.166,0.114,1.13626991037568,1
2007-08-27,3,Moderate Consumption Pattern,0.8414791666666667,5.194,0.114,0.9572398259301418,0
2007-08-28,3,Moderate Consumption Pattern,0.6923638888888889,4.104,0.108,0.765816708449023,0
2007-08-29,0,Low Consumption Pattern,0.5194388888888889,4.292,0.108,0.6455229611823553,0
2007-08-30,3,Moderate Consumption Pattern,0.8350402777777778,5.018,0.106,1.0681508840485685,0
2007-08-31,3,Moderate Consumption Pattern,0.8887652777777777,5.164,0.104,0.8423261352012102,0
2007-09-01,3,Moderate Consumption Pattern,1.1815875,4.934,0.11,0.9859875599435558,1
2007-09-02,3,Moderate Consumption Pattern,1.1544916666666667,5.306,0.098,1.061413544724978,1
2007-09-03,3,Moderate Consumption Pattern,0.7214736111111111,5.002,0.118,0.8427797799357407,0
2007-09-04,3,Moderate Consumption Pattern,1.1006555555555555,5.868,0.12,1.0700278516490884,0
2007-09-05,3,Moderate Consumption Pattern,0.8587305555555554,7.98,0.112,1.0627107168578385,0
2007-09-06,3,Moderate Consumption Pattern,0.6260236111111112,5.748,0.11,0.8290386384664726,0
2007-09-07,3,Moderate Consumption Pattern,0.9281222222222223,5.656,0.108,0.9803722550669901,0
2007-09-08,3,Moderate Consumption Pattern,1.020661111111111,5.896,0.112,1.0314398400233376,1
2007-09-09,3,Moderate Consumption Pattern,1.1663208333333333,5.69,0.122,1.1518418087179474,1
2007-09-10,3,Moderate Consumption Pattern,0.7759555555555555,6.106,0.106,1.0548073862406315,0
2007-09-11,3,Moderate Consumption Pattern,0.6830361111111111,4.736,0.106,0.8655976521623223,0
2007-09-12,3,Moderate Consumption Pattern,0.8942805555555555,6.18,0.114,1.0213368307903172,0
2007-09-13,3,Moderate Consumption Pattern,0.7960986111111111,6.752,0.106,0.9741282469750616,0
2007-09-14,3,Moderate Consumption Pattern,0.7885208333333333,5.246,0.118,0.7849083945855707,0
2007-09-15,3,Moderate Consumption Pattern,0.7606333333333333,5.452,0.124,0.7362068620373694,1
2007-09-16,3,Moderate Consumption Pattern,1.1473777777777778,6.04,0.11,1.204533706443091,1
2007-09-17,3,Moderate Consumption Pattern,1.0147125,8.11,0.11,1.4728662777913817,0
2007-09-18,3,Moderate Consumption Pattern,0.8107777777777778,5.242,0.106,0.9704202111983323,0
2007-09-19,3,Moderate Consumption Pattern,0.9018638888888889,5.992,0.106,0.9632738670606269,0
2007-09-20,3,Moderate Consumption Pattern,0.8718972222222222,6.148,0.106,0.954170711248739,0
2007-09-21,3,Moderate Consumption Pattern,0.8602638888888888,6.406,0.104,1.1299943051884465,0
2007-09-22,3,Moderate Consumption Pattern,0.8167861111111111,5.804,0.11,0.7884132489326775,1
2007-09-23,3,Moderate Consumption Pattern,0.9847013888888889,5.098,0.112,1.0600778340827461,1
2007-09-24,3,Moderate Consumption Pattern,0.9406458333333333,6.81,0.108,1.1755292851860768,0
2007-09-25,3,Moderate Consumption Pattern,1.2252375,5.85,0.11,1.0846338159879452,0
2007-09-26,2,Peak-Heavy Pattern,1.271875,7.03,0.2,1.2504406877103715,0
2007-09-27,3,Moderate Consumption Pattern,0.9670833333333333,5.786,0.202,1.0127180628946713,0
2007-09-28,1,High Consumption Pattern,1.1670125,7.244,0.204,1.141157614148935,0
2007-09-29,2,Peak-Heavy Pattern,1.5948069444444444,7.592,0.214,1.424132196492257,1
2007-09-30,1,High Consumption Pattern,1.0529791666666666,4.17,0.21,0.9125321799327338,1
