recommendation_id,Datetime,Actual,Predicted_LSTM,Predicted_XGBoost,actual_high_demand,actual_peak,actual_extreme_peak,pred_peak_lstm,pred_peak_xgboost,is_anomaly,severity,direction,methods_agree,cluster,cluster_name,recommendation_type,priority,recommendation,reason,supporting_signals
REC00032,2010-04-20 01:00:00,0.4288666666666667,0.4411479511007666,0.4253718743333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00033,2010-04-20 02:00:00,0.4137,0.4202749585162848,0.4078806033333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00034,2010-04-20 03:00:00,0.3510333333333333,0.3613854213185608,0.3446522828333334,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00035,2010-04-20 04:00:00,0.3545,0.3681798495657741,0.3507120498333334,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00036,2010-04-20 05:00:00,0.3012666666666666,0.3111267779886722,0.298193576,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00037,2010-04-20 06:00:00,0.4444333333333333,0.4416352887291461,0.4435223095,False,False,False,False,False,False,none,higher,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00038,2010-04-20 07:00:00,1.7821,1.777252403572947,1.7743086366666667,True,False,False,False,False,False,none,higher,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00039,2010-04-20 08:00:00,1.5909000000000002,1.5976179438576104,1.6112695883333332,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00040,2010-04-20 09:00:00,1.8861333333333328,1.911102905046195,1.9248097666666664,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00041,2010-04-20 10:00:00,1.8644666666666665,1.8702155136063692,1.8587467866666667,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00042,2010-04-20 11:00:00,1.5847666666666669,1.5986393828421832,1.5737428166666667,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00043,2010-04-20 12:00:00,1.5754666666666668,1.5796924069151284,1.5674552183333332,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00044,2010-04-20 13:00:00,1.6598666666666666,1.6607572598122062,1.655265845,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00045,2010-04-20 14:00:00,1.4857333333333334,1.500081525593996,1.475990403333333,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00046,2010-04-20 15:00:00,1.4511333333333334,1.4663117043830456,1.4426450350000002,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00047,2010-04-20 16:00:00,1.5280333333333334,1.5496117861084642,1.520221125,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00048,2010-04-20 17:00:00,1.562533333333333,1.5795199367783963,1.5526472183333333,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00049,2010-04-20 18:00:00,1.2556333333333332,1.2671891486417504,1.2445572611666669,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00050,2010-04-20 19:00:00,1.406,1.4178233575008812,1.4136723668333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00051,2010-04-20 20:00:00,2.4154,2.378830502347648,2.4008585266666667,True,True,False,True,True,False,none,higher,0,1.0,High Consumption Pattern,Peak Demand Reduction,HIGH,Reduce non-essential demand and shift flexible loads to lower-demand periods.,Peak demand was detected with actual consumption of 2.415. The consumption profile is classified as High Consumption Pattern.,Peak Detected | High Demand Detected | LSTM Predicted Peak | XGBoost Predicted Peak | Both Models Forecast High Consumption | High Consumption Pattern
REC00052,2010-04-20 21:00:00,2.270566666666667,2.273825807157159,2.253837505,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Forecast High Consumption,HIGH,Reduce or postpone non-essential electricity use during this forecast high-consumption period.,"Both forecasting models predict consumption above the 90th-percentile threshold of 1.932. LSTM = 2.274, XGBoost = 2.254.",High Demand Detected | Both Models Forecast High Consumption | High Consumption Pattern
REC00053,2010-04-20 22:00:00,1.4235333333333335,1.422654553431645,1.4108756743333333,False,False,False,False,False,False,none,higher,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00054,2010-04-20 23:00:00,0.4561333333333333,0.4670583839371799,0.4537693909999999,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00055,2010-04-21 00:00:00,0.9508333333333332,0.9459808875206858,0.9371157698333332,False,False,False,False,False,False,none,higher,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00056,2010-04-21 01:00:00,0.7458333333333333,0.7728613826662302,0.7400197701666666,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00057,2010-04-21 02:00:00,0.3594666666666667,0.3759396244652569,0.3525450953333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00058,2010-04-21 03:00:00,0.3177,0.3312803343571722,0.3104178751666666,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00059,2010-04-21 04:00:00,0.4173333333333333,0.4329739915113896,0.416112628,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00060,2010-04-21 05:00:00,0.4200666666666667,0.4360626532286406,0.4235171923333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00061,2010-04-21 06:00:00,0.4727666666666666,0.4894126816906035,0.4780375441666666,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00062,2010-04-21 07:00:00,1.1233333333333333,1.137048495048657,1.118942325,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00063,2010-04-21 08:00:00,1.4977333333333334,1.5102784584261475,1.490670926666667,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00064,2010-04-21 09:00:00,1.2514333333333334,1.2545126093659549,1.2336465583333334,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00065,2010-04-21 10:00:00,1.7870333333333333,1.793000244253874,1.7748116866666666,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00066,2010-04-21 11:00:00,1.7057,1.7159858025692405,1.6950143,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00067,2010-04-21 12:00:00,1.4616333333333331,1.4854573558561506,1.461490525,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00068,2010-04-21 13:00:00,1.4520666666666666,1.4696117520585656,1.451194505,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00069,2010-04-21 14:00:00,1.5217999999999998,1.5289437052853403,1.5171258183333334,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00070,2010-04-21 15:00:00,0.9395,0.9706567616462708,0.9359694878333332,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00071,2010-04-21 16:00:00,0.4578333333333333,0.4798409546472132,0.4560698629999999,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00072,2010-04-21 17:00:00,1.2767333333333333,1.2813350014198572,1.2694397178333332,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00073,2010-04-21 18:00:00,1.3145666666666669,1.344003630228341,1.3051177884999998,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00074,2010-04-21 19:00:00,0.5893333333333334,0.593762579760328,0.5780561888333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00075,2010-04-21 20:00:00,1.2491,1.2495622484341264,1.2410399273333332,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
REC00076,2010-04-21 21:00:00,1.6814666666666664,1.6866305099092425,1.66542135,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00077,2010-04-21 22:00:00,1.5153333333333334,1.5284692371807995,1.4988689766666667,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00078,2010-04-21 23:00:00,1.8233,1.8411316269621247,1.793217016,True,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Demand Detected | High Consumption Pattern
REC00079,2010-04-22 00:00:00,0.6506000000000001,0.675304238056764,0.6382645608333333,False,False,False,False,False,False,none,lower,0,1.0,High Consumption Pattern,Consumption Reduction,MEDIUM,Review persistent energy loads and identify non-essential consumption that can be reduced or scheduled more efficiently.,The daily consumption profile belongs to the High Consumption Pattern cluster.,High Consumption Pattern
